,year,gameid,side,num_counters_picked,num_counters_banned,PGA,higher_PGA,mean_champ_wr,mean_team_wr,result,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,pga_diff
57509,2022,ESPORTSTMNT01_2915136,Red,0,0,0,0,0.5005267978001999,0.6111111111111112,0,3247.0,4559.0,90.0,3093.0,4649.0,79.0,154.0,-90.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,-3
57510,2022,ESPORTSTMNT01_2915156,Blue,2,0,2,1,0.5061424243252755,0.3740458015267175,0,3206.0,3790.0,58.0,3165.0,3903.0,47.0,41.0,-113.0,11.0,1.0,0.0,1.0,1.0,2.0,1.0,1
57511,2022,ESPORTSTMNT01_2915156,Red,0,1,1,0,0.51342426305339,0.4193548387096774,1,3165.0,3903.0,47.0,3206.0,3790.0,58.0,-41.0,113.0,-11.0,1.0,2.0,1.0,1.0,0.0,1.0,-1
57512,2022,ESPORTSTMNT01_2915184,Blue,0,1,1,0,0.5024150112199688,0.6238532110091743,1,2857.0,4131.0,66.0,3434.0,4533.0,82.0,-577.0,-402.0,-16.0,0.0,0.0,0.0,1.0,0.0,0.0,-1
57513,2022,ESPORTSTMNT01_2915184,Red,2,0,2,1,0.5000795287416846,0.5588235294117647,0,3434.0,4533.0,82.0,2857.0,4131.0,66.0,577.0,402.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,1
57514,2022,ESPORTSTMNT01_2915196,Blue,0,0,0,0,0.4984427036932192,0.4343434343434343,0,3313.0,4289.0,79.0,2842.0,4121.0,65.0,471.0,168.0,14.0,0.0,1.0,0.0,0.0,0.0,1.0,-4
57515,2022,ESPORTSTMNT01_2915196,Red,2,2,4,1,0.4800626765281715,0.5930232558139535,1,2842.0,4121.0,65.0,3313.0,4289.0,79.0,-471.0,-168.0,-14.0,0.0,0.0,1.0,0.0,1.0,0.0,4
57516,2022,ESPORTSTMNT01_2915226,Blue,0,1,1,1,0.5097974437402528,0.5079365079365079,1,3202.0,4686.0,84.0,3195.0,4674.0,84.0,7.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
57517,2022,ESPORTSTMNT01_2915226,Red,0,0,0,0,0.4953463429773284,0.4558823529411764,0,3195.0,4674.0,84.0,3202.0,4686.0,84.0,-7.0,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1
57518,2022,ESPORTSTMNT01_2915295,Blue,0,1,1,1,0.5152036680114845,0.3333333333333333,0,3065.0,4086.0,54.0,3248.0,4259.0,72.0,-183.0,-173.0,-18.0,1.0,1.0,1.0,1.0,0.0,2.0,1
